timestamp [ns],name
5356504,Shift_pressed
495156504,Shift_pressed
527956504,Shift_pressed
558256504,Shift_pressed
589656504,Shift_pressed
622456504,Shift_pressed
650256504,E_pressed
903856504,y_pressed
1029756504,e_pressed
1652556504,Shift_pressed
1838356504,T_pressed
2042156504,R_pressed
2595356504,=_pressed
3360156504,Backspace_pressed
3512756504,Backspace_pressed
3705956504,r_pressed
4031856504,a_pressed
4273856504,c_pressed
4406456504,k_pressed
4577556504,i_pressed
4834756504,n_pressed
4929456504,g_pressed
5838256504,1_pressed
6009256504,0_pressed
6152356504,1_pressed
6711656504,Backspace_pressed
6875156504,Backspace_pressed
7196456504,Backspace_pressed
7658256504,2_pressed
7889056504,0_pressed
8005756504,2_pressed
8288156504,5_pressed
12032256504,Shift_pressed
12365756504,a_pressed
12500756504,Shift_pressed
12651756504,P_pressed
13529156504,Shift_pressed
14019156504,Shift_pressed
14051856504,Shift_pressed
14082856504,Shift_pressed
14116256504,Shift_pressed
14149056504,Shift_pressed
14180856504,Shift_pressed
14215256504,Shift_pressed
14245356504,Shift_pressed
14278656504,Shift_pressed
14310956504,Shift_pressed
14341956504,Shift_pressed
14374556504,Shift_pressed
14406956504,Shift_pressed
14438756504,Shift_pressed
14470556504,Shift_pressed
14502556504,Shift_pressed
14534956504,Shift_pressed
14569956504,Shift_pressed
14601556504,Shift_pressed
14632156504,Shift_pressed
14664756504,Shift_pressed
14697356504,Shift_pressed
14731756504,Shift_pressed
14761656504,Shift_pressed
14790956504,Shift_pressed
14822656504,Shift_pressed
14854556504,Shift_pressed
14889556504,Shift_pressed
14922456504,Shift_pressed
14952556504,Shift_pressed
14984656504,Shift_pressed
15016956504,Shift_pressed
15047556504,Shift_pressed
15080756504,Shift_pressed
15112656504,Shift_pressed
15144256504,Shift_pressed
15176356504,Shift_pressed
15209656504,Shift_pressed
15241056504,Shift_pressed
15274256504,Shift_pressed
15306256504,Shift_pressed
15339856504,Shift_pressed
15370356504,Shift_pressed
15403056504,Shift_pressed
15436656504,Shift_pressed
15468956504,Shift_pressed
15499956504,Shift_pressed
15532056504,Shift_pressed
15564056504,Shift_pressed
15595356504,Shift_pressed
15627456504,Shift_pressed
15660256504,Shift_pressed
15692456504,Shift_pressed
15726056504,Shift_pressed
15759656504,Shift_pressed
15790956504,Shift_pressed
15822556504,Shift_pressed
15856356504,Shift_pressed
15890756504,Shift_pressed
15919356504,Shift_pressed
15952856504,Shift_pressed
15985756504,Shift_pressed
16017656504,Shift_pressed
16051556504,Shift_pressed
16081056504,Shift_pressed
16100156504,$_pressed
17399056504,n_pressed
17575756504,Shift_pressed
17738156504,F_pressed
18807756504,-_pressed
19328656504,k_pressed
19572056504,c_pressed
20657656504,0_pressed
20961956504,Shift_pressed
21449856504,Shift_pressed
21482256504,Shift_pressed
21516256504,Shift_pressed
21548356504,Shift_pressed
21580056504,Shift_pressed
21588456504,!_pressed
22184756504,v_pressed
22434656504,Shift_pressed
22640356504,L_pressed
23224156504,r_pressed
23467956504,Shift_pressed
23956956504,Shift_pressed
23989356504,Shift_pressed
24021956504,Shift_pressed
24054856504,Shift_pressed
24087556504,Shift_pressed
24118456504,Shift_pressed
24150856504,Shift_pressed
24183256504,Shift_pressed
24211556504,%_pressed
24303156504,%_pressed
24854156504,Backspace_pressed
25826556504,Shift_pressed
26315856504,Shift_pressed
26348256504,Shift_pressed
26382056504,Shift_pressed
26390656504,?_pressed
