recording id,timestamp [ns],name,type
local_1758877108659,5292100000,username:e pressed,recording
local_1758877108659,5505800000,username:x pressed,recording
local_1758877108659,5705700000,username:p pressed,recording
local_1758877108659,5929100000,username:. pressed,recording
local_1758877108659,6223700000,username:u pressed,recording
local_1758877108659,6514700000,username:s pressed,recording
local_1758877108659,6757100000,username:e pressed,recording
local_1758877108659,6852800000,username:r pressed,recording
local_1758877108659,7750800000,username:2 pressed,recording
local_1758877108659,7991600000,username:0 pressed,recording
local_1758877108659,8043800000,username:2 pressed,recording
local_1758877108659,9233400000,username:5 pressed,recording
local_1758877108659,9608800000,username:Tab pressed,recording
local_1758877108659,10748600000,password:Shift pressed,recording
local_1758877108659,11074200000,password:A pressed,recording
local_1758877108659,11952700000,password:o pressed,recording
local_1758877108659,12220400000,password:4 pressed,recording
local_1758877108659,13236900000,password:n pressed,recording
local_1758877108659,13735900000,password:Shift pressed,recording
local_1758877108659,13837200000,password:F pressed,recording
local_1758877108659,14880300000,password:Shift pressed,recording
local_1758877108659,14986000000,password:$ pressed,recording
local_1758877108659,15915500000,password:Shift pressed,recording
local_1758877108659,16137700000,password:K pressed,recording
local_1758877108659,16855000000,password:q pressed,recording
local_1758877108659,17509300000,password:0 pressed,recording
local_1758877108659,17960100000,password:Shift pressed,recording
local_1758877108659,18373400000,password:! pressed,recording
local_1758877108659,19328100000,password:v pressed,recording
local_1758877108659,19837000000,password:u pressed,recording
local_1758877108659,19882500000,password:r pressed,recording
local_1758877108659,20777800000,password:7 pressed,recording
local_1758877108659,21531600000,password:Shift pressed,recording
local_1758877108659,21595200000,password:? pressed,recording
