recording id,timestamp [ns],name,type
local_1758879046084,2893700000,username:e pressed,recording
local_1758879046084,3322100000,username:x pressed,recording
local_1758879046084,3603200000,username:p pressed,recording
local_1758879046084,4076300000,username:. pressed,recording
local_1758879046084,5145200000,username:u pressed,recording
local_1758879046084,5511900000,username:s pressed,recording
local_1758879046084,5756900000,username:e pressed,recording
local_1758879046084,6547700000,username:r pressed,recording
local_1758879046084,7287100000,username:2 pressed,recording
local_1758879046084,7572200000,username:0 pressed,recording
local_1758879046084,8064600000,username:2 pressed,recording
local_1758879046084,8366100000,username:5 pressed,recording
local_1758879046084,8792300000,username:Tab pressed,recording
local_1758879046084,10454200000,password:CapsLock pressed,recording
local_1758879046084,10834600000,password:A pressed,recording
local_1758879046084,11078600000,password:CapsLock pressed,recording
local_1758879046084,11839200000,password:o pressed,recording
local_1758879046084,12222700000,password:4 pressed,recording
local_1758879046084,13213100000,password:n pressed,recording
local_1758879046084,13608800000,password:CapsLock pressed,recording
local_1758879046084,13986800000,password:F pressed,recording
local_1758879046084,14216600000,password:CapsLock pressed,recording
local_1758879046084,14977900000,password:Shift pressed,recording
local_1758879046084,15470500000,password:Shift pressed,recording
local_1758879046084,15503200000,password:Shift pressed,recording
local_1758879046084,15535000000,password:Shift pressed,recording
local_1758879046084,15568000000,password:Shift pressed,recording
local_1758879046084,15600700000,password:Shift pressed,recording
local_1758879046084,15633700000,password:Shift pressed,recording
local_1758879046084,15666600000,password:Shift pressed,recording
local_1758879046084,15694900000,password:Shift pressed,recording
local_1758879046084,15727100000,password:Shift pressed,recording
local_1758879046084,15761400000,password:Shift pressed,recording
local_1758879046084,15791100000,password:Shift pressed,recording
local_1758879046084,15824700000,password:Shift pressed,recording
local_1758879046084,15857200000,password:Shift pressed,recording
local_1758879046084,15888200000,password:Shift pressed,recording
local_1758879046084,15922000000,password:Shift pressed,recording
local_1758879046084,15953800000,password:Shift pressed,recording
local_1758879046084,15985700000,password:Shift pressed,recording
local_1758879046084,16017200000,password:Shift pressed,recording
local_1758879046084,16049100000,password:Shift pressed,recording
local_1758879046084,16081000000,password:Shift pressed,recording
local_1758879046084,16113200000,password:Shift pressed,recording
local_1758879046084,16146200000,password:Shift pressed,recording
local_1758879046084,16179700000,password:Shift pressed,recording
local_1758879046084,16212300000,password:Shift pressed,recording
local_1758879046084,16228000000,password:$ pressed,recording
local_1758879046084,17625500000,password:CapsLock pressed,recording
local_1758879046084,17841900000,password:K pressed,recording
local_1758879046084,18076200000,password:CapsLock pressed,recording
local_1758879046084,19474800000,password:q pressed,recording
local_1758879046084,19923800000,password:0 pressed,recording
local_1758879046084,20818800000,password:Shift pressed,recording
local_1758879046084,21039000000,password:! pressed,recording
local_1758879046084,22385700000,password:v pressed,recording
local_1758879046084,22842500000,password:u pressed,recording
local_1758879046084,24734600000,password:r pressed,recording
local_1758879046084,25780500000,password:7 pressed,recording
local_1758879046084,26883300000,password:Shift pressed,recording
local_1758879046084,27100500000,password:? pressed,recording
