section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432857207316,3.3293,3.186,-29.6875,16.9375,-41.0,33.3125,17.6562,-38.9375,-0.1144,-0.0405,0.9926,-0.1972,-0.0503,0.9791,0.3899,-0.4397,9.111,0.4543,-0.3577,8.9171
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432862207316,3.3844,3.1547,-29.5,17.0,-41.125,33.5,17.6875,-38.8125,-0.1338,-0.0376,0.9903,-0.2134,-0.0483,0.9758,0.4075,-0.4363,9.2683,0.4529,-0.3398,8.7034
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432867208316,3.2962,3.1694,-29.75,17.0312,-40.9688,33.25,17.7812,-38.8125,-0.1037,-0.0503,0.9933,-0.1961,-0.0591,0.9788,0.406,-0.4211,9.0831,0.4648,-0.3357,8.7914
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432872207316,3.3623,3.1088,-29.7188,17.125,-41.0,33.25,17.6562,-38.3438,-0.1144,-0.0444,0.9924,-0.2276,-0.0532,0.9723,0.416,-0.4121,9.0939,0.4463,-0.3525,8.7702
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432877212316,3.3293,3.1786,-29.6875,17.1562,-40.9688,33.3125,17.8438,-38.75,-0.1172,-0.0532,0.9917,-0.2104,-0.0639,0.9755,0.4204,-0.4116,9.1375,0.4724,-0.3274,8.7845
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432882212316,3.2741,3.1382,-29.5625,17.0625,-40.875,33.4688,17.6875,-39.0625,-0.1124,-0.0444,0.9927,-0.1991,-0.0532,0.9785,0.4028,-0.4272,9.1158,0.4607,-0.3403,8.7962
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432887209316,3.2723,3.0941,-29.75,17.0312,-40.875,33.25,17.75,-38.7188,-0.1037,-0.0474,0.9935,-0.2019,-0.0561,0.9778,0.4136,-0.4324,9.2927,0.4529,-0.3425,8.7331
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432892208316,3.3219,3.1014,-29.8125,17.0,-41.125,33.1875,17.75,-38.5625,-0.1125,-0.0405,0.9928,-0.2067,-0.0513,0.9771,0.4124,-0.4287,9.2382,0.4473,-0.3435,8.6811
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432897208316,3.2227,3.0426,-29.75,16.8125,-41.1875,33.25,17.6562,-38.5625,-0.1203,-0.0317,0.9922,-0.2078,-0.0425,0.9773,0.3953,-0.4468,9.2498,0.4524,-0.3499,8.8087
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432902208316,3.3219,3.1198,-29.6875,17.1875,-41.1875,33.3438,17.9375,-38.5938,-0.123,-0.0591,0.9906,-0.2122,-0.0698,0.9747,0.4312,-0.4121,9.2627,0.48,-0.3184,8.7696
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432907208316,3.3421,3.0684,-29.8125,17.0625,-41.25,33.1875,17.8125,-38.625,-0.1153,-0.0513,0.992,-0.1999,-0.062,0.9779,0.4287,-0.4192,9.3144,0.4487,-0.3291,8.5381
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432912208316,3.344,3.0867,-29.7188,17.0625,-40.9688,33.2812,17.7812,-38.5625,-0.1095,-0.0454,0.9929,-0.2134,-0.0552,0.9754,0.4065,-0.4167,9.0395,0.45,-0.3455,8.7327
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432917208316,3.2668,3.1051,-29.8438,17.0312,-41.0625,33.1562,17.7812,-38.5938,-0.1124,-0.0444,0.9927,-0.2067,-0.0532,0.977,0.4131,-0.4324,9.2873,0.4597,-0.3398,8.7799
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432922208316,3.3403,3.197,-29.8438,17.0625,-41.25,33.1562,17.8438,-38.75,-0.1143,-0.0561,0.9919,-0.1941,-0.0659,0.9788,0.4241,-0.4285,9.3661,0.4585,-0.3374,8.7392
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432927333316,3.2631,3.1731,-29.8438,17.0312,-40.875,33.1875,17.625,-38.9375,-0.096,-0.0444,0.9944,-0.1809,-0.0552,0.982,0.3989,-0.4309,9.1132,0.4353,-0.344,8.5528
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432932333316,3.3476,3.1216,-29.6562,17.125,-41.0625,33.375,17.5312,-39.25,-0.1007,-0.061,0.993,-0.1788,-0.0698,0.9814,0.4211,-0.4148,9.181,0.4412,-0.3506,8.6912
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432937333316,3.3734,3.061,-29.6875,17.1562,-41.2812,33.375,17.625,-39.0,-0.1036,-0.0688,0.9922,-0.1835,-0.0776,0.98,0.4363,-0.4028,9.2167,0.4504,-0.3357,8.6301
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432942333316,3.3238,3.0647,-29.75,17.0,-41.25,33.2812,17.4688,-39.0625,-0.0901,-0.0581,0.9942,-0.1788,-0.0668,0.9816,0.4216,-0.4248,9.298,0.4299,-0.3411,8.4604
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432947333316,3.2448,3.1345,-29.6562,16.9062,-41.375,33.375,17.5625,-39.125,-0.1017,-0.0668,0.9926,-0.1816,-0.0766,0.9804,0.4399,-0.4336,9.6005,0.4573,-0.3203,8.5366
c849be03-6516-4f03-8861-450b1806bafc,4dac270d-f0d0-4881-b876-9fbac7aec0db,1759832432952336316,3.1749,3.1051,-29.4375,16.8125,-41.125,33.5625,17.4688,-39.0,-0.1066,-0.0581,0.9926,-0.2017,-0.0688,0.977,0.4175,-0.438,9.3989,0.4375,-0.3481,8.6233
